run_id,ticker,horizon,W_star,rho_train,rho_test
20260303T231001Z,BF-B,42,100,0.16924725694944195,-0.0683498770924742
20260303T231001Z,BG,10,280,0.2724137672238389,-0.13078196513779336
20260303T231001Z,BG,21,280,0.2761856118659551,-0.3834193098640641
20260303T231001Z,BG,31,260,0.27385004244264594,-0.4180383022774327
20260303T231001Z,BG,42,260,0.27421242284094616,-0.4450420018667497
20260303T231001Z,BIIB,10,300,0.09074045482959707,-0.40806511438815907
20260303T231001Z,BIIB,21,300,0.12928491885507454,-0.5136657235893878
20260303T231001Z,BIIB,31,300,0.20261781536732146,-0.5681411732827529
20260303T231001Z,BIIB,42,300,0.2650833959819016,-0.5919662782048104
20260303T231001Z,BK,10,280,0.399045701421383,-0.017778285849771577
20260303T231001Z,BK,21,280,0.43329082181646345,0.24313001045660507
20260303T231001Z,BK,31,280,0.4640951981064811,0.3850378868958431
20260303T231001Z,BK,42,280,0.47710953498092673,0.32775812861025
20260303T231001Z,BKNG,10,240,0.4638425169898239,-0.09470983860388833
20260303T231001Z,BKNG,21,240,0.417440794298623,-0.1393152383576743
20260303T231001Z,BKNG,31,280,0.3780698950469956,-0.4448221242347703
20260303T231001Z,BKNG,42,280,0.3495530166326917,-0.5314260743694438
20260303T231001Z,BKR,10,280,0.3514146150305979,0.02740342751012263
20260303T231001Z,BKR,21,260,0.4040520220611427,-0.09904000767993858
20260303T231001Z,BKR,31,260,0.4068140998654133,-0.22224235104669893
20260303T231001Z,BKR,42,260,0.40658245734821313,-0.18270145339792881
20260303T231001Z,BLDR,10,140,0.39742112671176666,0.42767567553437497
20260303T231001Z,BLDR,21,140,0.431634655001261,0.5221617831107043
20260303T231001Z,BLDR,31,140,0.4231780136548278,0.43631678006252095
20260303T231001Z,BLDR,42,140,0.3998205819509316,0.2774386479924278
20260303T231001Z,BLK,10,300,0.5200776371288424,-0.021645420806343792
20260303T231001Z,BLK,21,300,0.6433063544401,-0.003491165323226392
20260303T231001Z,BLK,31,300,0.6956884891728042,0.19990516190218122
20260303T231001Z,BLK,42,300,0.7350751842410854,0.5216734666275951
20260303T231001Z,BMY,10,80,0.30846229725664087,-0.043588113268711974
20260303T231001Z,BMY,21,100,0.395660039913593,-0.04921625529859068
20260303T231001Z,BMY,31,80,0.42029810012806945,-0.06941824113500933
20260303T231001Z,BMY,42,80,0.39186186165864567,-0.06278127606147148
20260303T231001Z,BR,10,280,0.492613627682834,-0.10663443232128214
20260303T231001Z,BR,21,300,0.5798917865356997,-0.059574013772487056
20260303T231001Z,BR,31,300,0.6155025616418539,0.11217314727001759
20260303T231001Z,BR,42,300,0.635221389247506,0.29216689583662064
20260303T231001Z,BRK-B,10,280,0.5073240532936207,-0.14554427917991536
20260303T231001Z,BRK-B,21,280,0.5573549041664249,-0.12084349947716974
20260303T231001Z,BRK-B,31,300,0.5809891313026231,0.030476900149031285
20260303T231001Z,BRK-B,42,300,0.6021710857468094,-0.04622320402136916
20260303T231001Z,BRO,10,100,0.37600702958408916,0.28406989104816627
20260303T231001Z,BRO,21,80,0.34039149175183725,0.5119658119658119
20260303T231001Z,BRO,31,80,0.31268229347205573,0.587791023185011
20260303T231001Z,BRO,42,60,0.2587457580985234,0.5174754312863196
20260303T231001Z,BSX,10,220,0.540783388078106,0.16956946395089367
20260303T231001Z,BSX,21,220,0.5554118325585059,0.18733281383732966
20260303T231001Z,BSX,31,220,0.5495226773706324,0.00800945766218413
20260303T231001Z,BSX,42,280,0.5191650094630172,-0.3370932280926955
20260303T231001Z,BX,10,120,0.5851784453944281,0.08938143575828929
20260303T231001Z,BX,21,120,0.5633793277706665,0.12655525679589574
20260303T231001Z,BX,31,120,0.5245682793043219,0.08571604585157644
20260303T231001Z,BX,42,120,0.49125727869215224,0.10383107593636566
20260303T231001Z,BXP,10,300,0.5462092696735189,0.1810910096795623
20260303T231001Z,BXP,21,300,0.6187644553492578,0.17484118934500614
20260303T231001Z,BXP,31,300,0.6576067047744324,0.3966806665763446
20260303T231001Z,BXP,42,300,0.7025073089260603,0.4174785294051349
20260303T231001Z,C,10,300,0.5498781115650648,0.08044367978440499
20260303T231001Z,C,21,300,0.6587558099247744,-0.05676079645545295
20260303T231001Z,C,31,300,0.7189909320803249,-0.046565584889622536
20260303T231001Z,C,42,300,0.7608313602951935,-0.10588553524333341
20260303T231001Z,CAG,10,20,0.051305510154274925,-0.20867475581770503
20260303T231001Z,CAG,21,20,-0.022247115363394188,-0.31416850027050336
20260303T231001Z,CAG,31,20,-0.05473824112487415,-0.28537685636654636
20260303T231001Z,CAG,42,20,-0.01675309875038164,-0.2529222110902464
20260303T231001Z,CAH,10,140,-0.02541093244631611,-0.009749374312582522
20260303T231001Z,CAH,21,120,-0.0016348219712309206,-0.10352022212825035
20260303T231001Z,CAH,31,120,0.04129271014836219,-0.21676926800290428
20260303T231001Z,CAH,42,120,0.04222055142017257,-0.43458903730455606
20260303T231001Z,CARR,10,260,0.41023097098311395,0.1902054467271859
20260303T231001Z,CARR,21,240,0.5514117010680359,-0.1281128112811281
20260303T231001Z,CARR,31,240,0.615068196902001,-0.5627443717331357
20260303T231001Z,CARR,42,240,0.6580882858077155,-0.5257789678675755
20260303T231001Z,CAT,10,280,0.4795169297333577,0.15289720997909848
20260303T231001Z,CAT,21,300,0.5882236209292406,0.10848769551059628
