run_id,ticker,W_star,h_star,rho_train,rho_test
20260303T233831Z,IEX,300,60,0.5312723367961697,-0.3154447235793659
20260303T233831Z,IFF,300,60,0.7275319801795451,-0.6112695158978468
20260303T233831Z,INCY,60,45,0.16302951786329434,-0.08207943137424974
20260303T233831Z,INTC,300,60,0.3389816458469912,-0.8048641400675062
20260303T233831Z,INTU,300,15,0.5876720403463513,-0.2746093677077305
20260303T233831Z,INVH,300,50,0.7415893611541855,-0.5691288146518821
20260303T233831Z,IP,300,60,0.6272871914135192,-0.214586255259467
20260303T233831Z,IQV,300,40,0.8003213349253441,0.6993798476099361
20260303T233831Z,IR,300,60,0.5714778549812439,-0.668310651480357
20260303T233831Z,IRM,240,60,0.44213759141824904,-0.6741879045100089
20260303T233831Z,ISRG,300,45,0.7044178528647499,0.33412684417798155
20260303T233831Z,IT,200,15,0.47463482394796064,-0.10205910298038975
20260303T233831Z,ITW,300,60,0.6579209612534557,0.48266880384692445
20260303T233831Z,IVZ,300,60,0.7313674212175524,0.266418013963596
20260303T233831Z,J,300,60,0.6269076043944729,-0.1030161983878674
20260303T233831Z,JBHT,120,30,0.6617500047759312,-0.15390200435633983
20260303T233831Z,JBL,300,50,0.6712487876778759,-0.13339477865547833
20260303T233831Z,JCI,300,60,0.832990326411235,-0.33916434196939105
20260303T233831Z,JKHY,60,45,0.17052472021983875,0.17892135040573864
20260303T233831Z,JNJ,300,60,0.32371283932806055,0.7610468073301173
20260303T233831Z,JPM,300,35,0.6839838618515853,0.2686912736591287
20260303T233831Z,KDP,220,60,0.3895663091030489,-0.054836648012018215
20260303T233831Z,KEY,300,60,0.6482352188407277,-0.2720126997826857
20260303T233831Z,KEYS,200,40,0.5424957904658374,0.32310738255878835
20260303T233831Z,KHC,260,50,0.2739705505932774,0.008028231881992745
20260303T233831Z,KIM,280,60,0.659704968051994,0.8079748522226398
20260303T233831Z,KKR,300,30,0.7066898850469746,-0.014893216267212123
20260303T233831Z,KLAC,160,10,0.3150271359908813,0.08171996807560827
20260303T233831Z,KMB,20,40,0.12763178331355207,-0.3456123903261935
20260303T233831Z,KMI,300,60,0.5835741304601156,-0.5742027958016738
20260303T233831Z,KO,300,10,0.43958416889790214,0.08187706809223141
20260303T233831Z,KR,120,35,0.035302405868412205,0.07689446615621114
20260303T233831Z,KVUE,220,20,0.760672268907563,
